country,year,height,weight
Afghanistan,1896,161.1641,55.05335976
Afghanistan,1897,161.19629,54.79933155
Afghanistan,1898,161.2283,57.08429887
Afghanistan,1899,161.26073,55.80256168
Afghanistan,1900,161.29308,55.07901653
Afghanistan,1901,161.32549,57.03799364
Afghanistan,1902,161.35835,51.4887207
Afghanistan,1903,161.39122,59.16009315
Afghanistan,1904,161.424,56.63363248
Afghanistan,1905,161.45676,52.63223412
Afghanistan,1906,161.48941,51.87835569
Afghanistan,1907,161.52293,53.55169473
Afghanistan,1908,161.5573,49.32528465
Afghanistan,1909,161.5924,54.41272896
Afghanistan,1910,161.62889,55.93963171
Afghanistan,1911,161.66783,56.881576
Afghanistan,1912,161.70976,56.91406355
Afghanistan,1913,161.7545,47.63858961
Afghanistan,1914,161.80159,55.61483535
Afghanistan,1915,161.85123,56.16431158
Afghanistan,1916,161.90298,52.59649053
Afghanistan,1917,161.95699,55.29015659
Afghanistan,1918,162.01262,51.8477326
Afghanistan,1919,162.06923,55.05786034
Afghanistan,1920,162.12595,54.9487607
Afghanistan,1921,162.18266,55.48977658
Afghanistan,1922,162.23845,56.4710866
Afghanistan,1923,162.29382,55.07165925
Afghanistan,1924,162.34937,57.57795382
Afghanistan,1925,162.40637,51.34429281
Afghanistan,1926,162.4658,57.43153408
Afghanistan,1927,162.52875,56.53185653
Afghanistan,1928,162.59532,49.44394827
Afghanistan,1929,162.66498,54.35203449
Afghanistan,1930,162.73637,56.55544312
Afghanistan,1931,162.80855,55.45346912
Afghanistan,1932,162.88028,58.03474536
Afghanistan,1933,162.95183,53.70801781
Afghanistan,1934,163.0234,54.65020696
Afghanistan,1935,163.09491,59.62116916
Afghanistan,1936,163.16595,57.1731582
Afghanistan,1937,163.2363,59.72102517
Afghanistan,1938,163.30539,53.18583823
Afghanistan,1939,163.373,56.84206211
Afghanistan,1940,163.439,53.0752342
Afghanistan,1941,163.50415,55.46989873
Afghanistan,1942,163.57007,52.58817681
Afghanistan,1943,163.63829,50.12724427
Afghanistan,1944,163.70876,57.78530661
Afghanistan,1945,163.78105,56.26452145
Afghanistan,1946,163.8554,53.31782927
Afghanistan,1947,163.93109,53.44977667
Afghanistan,1948,164.00739,53.08225329
Afghanistan,1949,164.08322,54.77053409
Afghanistan,1950,164.1576,55.65107062
Afghanistan,1951,164.22906,58.57926574
Afghanistan,1952,164.29672,57.0687287
Afghanistan,1953,164.36061,60.03318768
Afghanistan,1954,164.42049,56.05263264
Afghanistan,1955,164.47694,51.34658251
Afghanistan,1956,164.53061,59.01023073
Afghanistan,1957,164.58313,51.28588322
Afghanistan,1958,164.63573,57.44163002
Afghanistan,1959,164.68878,54.12627526
Afghanistan,1960,164.74278,55.06398849
Afghanistan,1961,164.79713,50.14594509
Afghanistan,1962,164.84982,53.79529562
Afghanistan,1963,164.89914,54.02531764
Afghanistan,1964,164.94362,52.67531891
Afghanistan,1965,164.98312,66.26923651
Afghanistan,1966,165.0189,51.28117815
Afghanistan,1967,165.05176,54.3386728
Afghanistan,1968,165.08266,54.62356057
Afghanistan,1969,165.1135,59.58910665
Afghanistan,1970,165.14397,52.92723767
Afghanistan,1971,165.17415,56.70847673
Afghanistan,1972,165.20407,58.05938587
Afghanistan,1973,165.23383,52.83606436
Afghanistan,1974,165.2631,52.1005699
Afghanistan,1975,165.29117,58.82315272
Afghanistan,1976,165.31694,57.16859398
Afghanistan,1977,165.33897,55.69760639
Afghanistan,1978,165.35677,61.08174765
Afghanistan,1979,165.37074,56.59716308
Afghanistan,1980,165.38129,51.80896595
Afghanistan,1981,165.38963,54.56477136
Afghanistan,1982,165.39594,54.77316141
Afghanistan,1983,165.39935,56.83272526
Afghanistan,1984,165.39996,52.95670158
Afghanistan,1985,165.39713,59.28565008
Afghanistan,1986,165.39091,57.83912315
Afghanistan,1987,165.38124,55.55793582
Afghanistan,1988,165.3687,53.01136102
Afghanistan,1989,165.35506,57.2440078
Afghanistan,1990,165.34065,52.61838648
Afghanistan,1991,165.32617,57.30961985
Afghanistan,1992,165.31207,56.3095867
Afghanistan,1993,165.2981,53.10978034
Afghanistan,1994,165.28415,51.5887053
Afghanistan,1995,165.27013,54.32073513
Afghanistan,1996,165.25586,54.92529692
Albania,1896,163.32513,71.86859125
Albania,1897,163.46643,70.1578217
Albania,1898,163.60811,65.36403767
Albania,1899,163.7499,69.99646155
Albania,1900,163.89185,64.26748787
Albania,1901,164.03418,67.58664282
Albania,1902,164.17657,73.97695331
Albania,1903,164.31915,67.17584746
Albania,1904,164.46196,64.23993499
Albania,1905,164.60474,65.97168991
Albania,1906,164.74716,71.47030805
Albania,1907,164.88974,68.87320116
Albania,1908,165.03287,67.34077327
Albania,1909,165.1759,73.06861051
Albania,1910,165.31956,72.43053786
Albania,1911,165.46526,70.81307043
Albania,1912,165.61307,65.53702961
Albania,1913,165.76205,71.58642408
Albania,1914,165.91196,72.42897025
Albania,1915,166.06282,66.77549462
Albania,1916,166.21419,70.54352708
Albania,1917,166.36543,65.53094096
Albania,1918,166.51622,72.17433656
