country,lifeExp,gdp,bmi,alc,edu,adultMort,incomeComp,totExp
Afghanistan,65.0,584.25921,19.1,0.01,10.1,263.0,0.479,8.16
Afghanistan,59.9,612.696514,18.6,0.01,10.0,271.0,0.476,8.18
Afghanistan,59.9,631.744976,18.1,0.01,9.9,268.0,0.47,8.13
Afghanistan,59.5,669.959,17.6,0.01,9.8,272.0,0.463,8.52
Afghanistan,59.2,63.537231,17.2,0.01,9.5,275.0,0.454,7.87
Afghanistan,58.8,553.32894,16.7,0.01,9.2,279.0,0.448,9.2
Afghanistan,58.6,445.8932979,16.2,0.01,8.9,281.0,0.434,9.42
Afghanistan,58.1,373.3611163,15.7,0.03,8.7,287.0,0.433,8.33
Afghanistan,57.5,369.835796,15.2,0.02,8.4,295.0,0.415,6.73
Afghanistan,57.3,272.56377,14.7,0.03,8.1,295.0,0.405,7.43
Afghanistan,57.3,25.2941299,14.2,0.02,7.9,291.0,0.396,8.7
Afghanistan,57.0,219.1413528,13.8,0.02,6.8,293.0,0.381,8.79
Afghanistan,56.7,198.7285436,13.4,0.01,6.5,295.0,0.373,8.82
Afghanistan,56.2,187.84595,13.0,0.01,6.2,3.0,0.341,7.76
Afghanistan,55.3,117.49698,12.6,0.01,5.9,316.0,0.34,7.8
Afghanistan,54.8,114.56,12.2,0.01,5.5,321.0,0.338,8.2
Albania,77.8,3954.22783,58.0,4.6,14.2,74.0,0.762,6.0
Albania,77.5,4575.763787,57.2,4.51,14.2,8.0,0.761,5.88
Albania,77.2,4414.72314,56.5,4.76,14.2,84.0,0.759,5.66
Albania,76.9,4247.61438,55.8,5.14,14.2,86.0,0.752,5.59
Albania,76.6,4437.17868,55.1,5.37,13.3,88.0,0.738,5.71
Albania,76.2,494.358832,54.3,5.28,12.5,91.0,0.725,5.34
Albania,76.1,4114.136545,53.5,5.79,12.2,91.0,0.721,5.79
Albania,75.3,437.539647,52.6,5.61,12.0,1.0,0.713,5.87
Albania,75.9,363.13685,51.7,5.58,11.6,9.0,0.703,6.1
Albania,74.2,35.1293,5.8,5.31,11.4,99.0,0.696,5.86
Albania,73.5,279.142931,49.9,5.16,10.8,15.0,0.685,6.12
Albania,73.0,2416.588235,48.9,4.54,10.9,17.0,0.681,6.38
Albania,72.8,189.681557,47.9,4.29,10.7,18.0,0.674,6.27
Albania,73.3,1453.642777,46.9,3.73,10.7,15.0,0.67,6.3
Albania,73.6,1326.97339,46.0,4.25,10.6,14.0,0.662,6.0
Albania,72.6,1175.788981,45.0,3.66,10.7,11.0,0.656,6.26
Algeria,75.6,4132.76292,59.5,,14.4,19.0,0.743,
Algeria,75.4,547.8517,58.4,0.01,14.4,11.0,0.741,7.21
Algeria,75.3,5471.866766,57.2,0.53,14.4,112.0,0.737,7.12
Algeria,75.1,5564.82566,56.1,0.66,14.4,113.0,0.732,6.14
Algeria,74.9,5432.2523,55.0,0.56,14.0,116.0,0.724,5.29
Algeria,74.7,4463.394675,53.9,0.45,13.6,119.0,0.714,5.12
Algeria,74.4,3868.83123,52.8,0.5,13.1,123.0,0.705,5.36
Algeria,74.1,495.254866,51.8,0.46,12.6,126.0,0.697,4.2
Algeria,73.8,3935.183343,5.8,0.44,12.3,129.0,0.69,3.82
Algeria,73.4,3464.6179,49.8,0.36,12.3,132.0,0.686,3.36
Algeria,72.9,31.122378,48.9,0.5,12.0,136.0,0.68,3.24
Algeria,72.3,2598.9823,47.9,0.45,11.7,14.0,0.673,3.54
Algeria,71.7,294.33556,47.0,0.34,11.5,146.0,0.663,3.6
Algeria,71.6,1774.33673,46.1,0.36,11.1,145.0,0.653,3.73
Algeria,71.4,1732.857979,45.3,0.23,10.9,145.0,0.644,3.84
Algeria,71.3,1757.17797,44.4,0.25,10.7,145.0,0.636,3.49
Angola,52.4,3695.793748,23.3,,11.4,335.0,0.531,
Angola,51.7,479.31224,22.7,8.33,11.4,348.0,0.527,3.31
Angola,51.1,484.616884,22.1,8.1,11.4,355.0,0.523,4.26
Angola,56.0,4598.249988,21.5,8.24,10.3,358.0,0.508,3.3
Angola,51.0,4299.12889,21.0,8.06,9.4,361.0,0.495,3.38
Angola,49.6,3529.53482,2.4,7.8,9.0,365.0,0.488,3.39
Angola,49.1,3347.84485,19.8,7.01,8.5,369.0,0.48,4.37
Angola,48.7,3868.578883,19.3,7.07,8.1,371.0,0.468,3.84
Angola,48.2,2878.837144,18.8,6.35,7.7,375.0,0.454,3.38
Angola,47.7,262.415149,18.2,5.84,7.2,381.0,0.439,4.54
Angola,47.4,1443.991929,17.7,5.04,6.8,382.0,0.426,4.1
Angola,47.1,141.86844,17.2,3.53,6.4,386.0,0.415,4.71
Angola,46.8,779.468356,16.8,3.49,5.9,388.0,0.406,4.41
Angola,46.5,711.181716,16.3,2.82,5.5,391.0,0.401,3.63
Angola,45.7,526.168743,15.8,2.58,5.1,44.0,0.391,5.38
Angola,45.3,555.2969419,15.4,1.85,4.6,48.0,0.382,2.79
AntiguaandBarbuda,76.4,13566.9541,47.7,,13.9,13.0,0.784,
AntiguaandBarbuda,76.2,12888.29667,47.0,8.56,13.9,131.0,0.782,5.54
AntiguaandBarbuda,76.1,12224.86416,46.4,8.58,13.9,133.0,0.781,5.33
AntiguaandBarbuda,75.9,12565.44197,45.7,8.18,13.8,134.0,0.778,5.39
AntiguaandBarbuda,75.7,11929.34991,45.1,7.84,14.1,136.0,0.782,5.65
AntiguaandBarbuda,75.6,12126.87614,44.4,7.84,14.1,138.0,0.783,5.63
AntiguaandBarbuda,75.4,1312.46692,43.8,7.82,14.2,14.0,0.788,4.86
AntiguaandBarbuda,75.2,1473.31923,43.2,8.27,14.4,142.0,0.786,4.69
AntiguaandBarbuda,75.0,14252.29452,42.6,8.64,14.5,144.0,0.781,4.27
AntiguaandBarbuda,74.8,12724.39377,42.0,8.93,14.7,145.0,0.773,4.34
AntiguaandBarbuda,74.6,11371.93895,41.4,8.15,0.0,147.0,0.0,4.41
AntiguaandBarbuda,74.4,1352.8374,4.8,7.28,0.0,149.0,0.0,4.21
AntiguaandBarbuda,74.2,9739.82556,4.1,7.16,0.0,151.0,0.0,4.53
AntiguaandBarbuda,74.0,9386.716452,39.5,7.21,0.0,153.0,0.0,4.41
AntiguaandBarbuda,73.8,9358.154162,38.9,7.51,0.0,154.0,0.0,4.48
AntiguaandBarbuda,73.6,9875.161736,38.2,7.27,0.0,156.0,0.0,4.13
Argentina,76.3,13467.1236,62.8,,17.3,116.0,0.826,
Argentina,76.2,12245.25645,62.2,7.93,17.3,118.0,0.825,4.79
Argentina,76.0,12976.63642,61.6,8.28,17.3,119.0,0.823,4.99
Argentina,75.9,12969.7712,61.0,8.35,17.2,12.0,0.822,5.2
Argentina,75.7,12726.9836,6.4,8.11,17.1,12.0,0.816,5.89
Argentina,75.5,1276.265,59.8,8.15,16.8,121.0,0.802,6.55
Argentina,75.6,8161.36966,59.2,8.33,16.5,126.0,0.794,7.63
Argentina,75.4,8953.359275,58.6,8.41,16.3,126.0,0.792,6.66
Argentina,74.8,7193.61764,58.0,8.16,16.3,129.0,0.788,6.49
Argentina,75.2,5878.76127,57.5,7.75,16.1,127.0,0.782,6.68
Argentina,74.9,576.883829,56.9,7.53,16.3,127.0,0.78,6.85
Argentina,74.7,4251.574348,56.3,7.63,16.3,13.0,0.775,6.84
Argentina,74.1,333.4376,55.7,7.62,16.4,137.0,0.77,8.22
Argentina,74.1,2579.193168,55.1,7.81,16.3,138.0,0.776,8.31
Argentina,74.0,717.694674,54.6,7.76,15.6,138.0,0.771,9.38
Argentina,74.1,7669.273916,54.0,7.68,15.0,137.0,0.764,9.21
Armenia,74.8,369.654776,54.9,,12.7,118.0,0.741,
Armenia,74.6,3994.712355,54.1,3.91,12.7,12.0,0.739,4.48
Armenia,74.4,3843.591213,53.3,3.79,12.7,123.0,0.736,4.55
Armenia,74.4,3684.8481,52.6,3.89,12.7,121.0,0.732,4.48
Armenia,73.9,3526.978143,51.9,4.09,12.7,128.0,0.729,3.71
Armenia,73.5,3218.381655,51.2,4.23,12.3,132.0,0.72,4.56
Armenia,73.3,2993.832531,5.7,3.96,11.9,137.0,0.725,4.55
Armenia,73.2,41.26997,5.1,3.96,12.3,14.0,0.721,3.8
Armenia,73.5,3138.8873,49.7,3.99,11.7,132.0,0.707,4.31
Armenia,72.9,2158.299,49.2,4.01,11.2,141.0,0.692,4.58
Armenia,73.0,1643.758397,48.8,4.25,10.9,137.0,0.679,5.25
