no,who,Newbie,Age,Gender,Household Income,Sexual Preference,Country,Education Attainment,Major Occupation,Marital Status,Years on Internet
0,id74364,0,54.0,Male,$50-74,Gay male,Ontario,Some College,Computer,Other,4-6 yr
1,id84505,0,39.0,Female,Over $100,Heterosexual,Sweden,Professional,Other,Other,1-3 yr
2,id84509,1,49.0,Female,$40-49,Heterosexual,Washington,Some College,Management,Other,Under 6 mo
3,id87028,1,22.0,Female,$40-49,Heterosexual,Florida,Some College,Computer,Married,6-12 mo
4,id76087,0,20.0,Male,$30-39,Bisexual,New Jersey,Some College,Education,Single,1-3 yr
5,id77190,0,16.0,Male,,Heterosexual,New York,Grammar,Education,Single,1-3 yr
6,id78923,0,67.0,Male,$30-39,Heterosexual,New Jersey,Other,Other,Married,1-3 yr
7,id78976,0,25.0,Male,Under $10,Heterosexual,Connecticut,College,Education,Single,1-3 yr
8,id89941,0,54.0,Male,$75-99,Heterosexual,Washington,Professional,Professional,Married,4-6 yr
9,id75957,1,48.0,Female,$50-74,Heterosexual,Ohio,College,Education,Married,Under 6 mo
10,id76313,0,25.0,Male,$30-39,Heterosexual,Ontario,College,Computer,Single,1-3 yr
11,id80575,0,27.0,Female,$40-49,Bisexual,Wisconsin,College,Education,Single,4-6 yr
12,id87146,1,42.0,Male,$50-74,Heterosexual,Michigan,Some College,Management,Married,6-12 mo
13,id88233,1,48.0,Male,$20-29,Heterosexual,United Kingdom,Some College,Computer,Married,Under 6 mo
14,id72594,0,43.0,Male,$40-49,Heterosexual,Ontario,Some College,Computer,Married,1-3 yr
15,id81750,0,37.0,Male,Over $100,Heterosexual,Washington D.C.,Professional,Professional,Married,Over 7 yr
16,id84525,0,30.0,Male,Over $100,Heterosexual,Texas,College,Computer,Single,1-3 yr
17,id75960,0,25.0,Female,$40-49,Heterosexual,Texas,Special,Professional,Other,1-3 yr
18,id75085,0,40.0,Male,Over $100,Heterosexual,Florida,Professional,Computer,Single,4-6 yr
19,id84528,0,35.0,Male,,Heterosexual,Wisconsin,Some College,Computer,Married,4-6 yr
20,id81669,0,26.0,Male,Over $100,Heterosexual,Texas,College,Computer,Married,Over 7 yr
21,id85191,1,36.0,Female,$50-74,Heterosexual,Florida,Some College,Professional,Married,6-12 mo
